Year,Series,concept.REF_AREA,Units,Value
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,11.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,5.0
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,10.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,7.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,7.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,3.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG04,CL_UNIT_MEASURE.NUMBER,5.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,17.4
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,4.1
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.8
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,0.9
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.1
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.2
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.0
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,0.5
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,0.7
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,197.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,47.0
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,21.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,11.0
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,13.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,15.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,13.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,7.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG06,CL_UNIT_MEASURE.NUMBER,10.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.5
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.8
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.2
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.5
