Year,concept.REF_AREA,concept.SEX,Value
2008,CL_AREA.KG07,,42.972122999999996
2009,CL_AREA.KG07,,33.003964
2010,CL_AREA.KG07,,42.338833
2011,CL_AREA.KG07,,50.172706
2012,CL_AREA.KG07,,39.57478
2013,CL_AREA.KG07,,23.057182
2014,CL_AREA.KG07,,19.048344
2015,CL_AREA.KG07,,21.481514
2016,CL_AREA.KG07,,18.115851
2017,CL_AREA.KG07,,20.679703
2018,CL_AREA.KG07,,22.085933999999998
2007,CL_AREA.KG07,CL_SEX.M,35.524401
2008,CL_AREA.KG07,CL_SEX.M,45.403420000000004
2009,CL_AREA.KG07,CL_SEX.M,35.673722
2010,CL_AREA.KG07,CL_SEX.M,44.324841
2011,CL_AREA.KG07,CL_SEX.M,51.365666999999995
2012,CL_AREA.KG07,CL_SEX.M,42.155403
2013,CL_AREA.KG07,CL_SEX.M,23.320678
2014,CL_AREA.KG07,CL_SEX.M,19.717988000000002
2015,CL_AREA.KG07,CL_SEX.M,22.565255
2016,CL_AREA.KG07,CL_SEX.M,19.131642000000003
2017,CL_AREA.KG07,CL_SEX.M,21.405379999999997
2018,CL_AREA.KG07,CL_SEX.M,23.802663
2007,CL_AREA.KG07,CL_SEX.F,34.937965999999996
2008,CL_AREA.KG07,CL_SEX.F,40.025341999999995
2009,CL_AREA.KG07,CL_SEX.F,29.757565000000003
2010,CL_AREA.KG07,CL_SEX.F,40.090317999999996
2011,CL_AREA.KG07,CL_SEX.F,48.834977
2012,CL_AREA.KG07,CL_SEX.F,36.737398999999996
2013,CL_AREA.KG07,CL_SEX.F,22.797196
2014,CL_AREA.KG07,CL_SEX.F,18.38895
2015,CL_AREA.KG07,CL_SEX.F,20.402521
2016,CL_AREA.KG07,CL_SEX.F,17.094741
2017,CL_AREA.KG07,CL_SEX.F,19.940922
2018,CL_AREA.KG07,CL_SEX.F,20.340712
2007,CL_AREA.KG08,,14.980994
2008,CL_AREA.KG08,,15.782631
2009,CL_AREA.KG08,,21.239380999999998
2010,CL_AREA.KG08,,21.868453
2011,CL_AREA.KG08,,28.620908
2012,CL_AREA.KG08,,16.571766
2013,CL_AREA.KG08,,23.615399
2014,CL_AREA.KG08,,21.576154000000002
2015,CL_AREA.KG08,,24.813851
2016,CL_AREA.KG08,,30.306457
2017,CL_AREA.KG08,,33.300588
2018,CL_AREA.KG08,,15.569903
2007,CL_AREA.KG08,CL_SEX.M,13.323177
2008,CL_AREA.KG08,CL_SEX.M,14.947409
2009,CL_AREA.KG08,CL_SEX.M,20.612282999999998
2010,CL_AREA.KG08,CL_SEX.M,21.810234
2011,CL_AREA.KG08,CL_SEX.M,31.580794
2012,CL_AREA.KG08,CL_SEX.M,16.336951000000003
2013,CL_AREA.KG08,CL_SEX.M,23.536875
2014,CL_AREA.KG08,CL_SEX.M,20.781079000000002
2015,CL_AREA.KG08,CL_SEX.M,24.231370000000002
2016,CL_AREA.KG08,CL_SEX.M,29.796796
2017,CL_AREA.KG08,CL_SEX.M,32.33125
2018,CL_AREA.KG08,CL_SEX.M,15.460809
2007,CL_AREA.KG08,CL_SEX.F,16.816017000000002
2008,CL_AREA.KG08,CL_SEX.F,16.656433
2009,CL_AREA.KG08,CL_SEX.F,21.936014
2010,CL_AREA.KG08,CL_SEX.F,21.932251
2011,CL_AREA.KG08,CL_SEX.F,25.292385999999997
2012,CL_AREA.KG08,CL_SEX.F,16.835987
2013,CL_AREA.KG08,CL_SEX.F,23.697958
2014,CL_AREA.KG08,CL_SEX.F,22.438097
2015,CL_AREA.KG08,CL_SEX.F,25.448532
2016,CL_AREA.KG08,CL_SEX.F,30.862157
2017,CL_AREA.KG08,CL_SEX.F,34.357578000000004
2018,CL_AREA.KG08,CL_SEX.F,15.688804999999999
2007,CL_AREA.KG11,,5.005041
2008,CL_AREA.KG11,,15.199876999999999
2009,CL_AREA.KG11,,13.244359
2010,CL_AREA.KG11,,7.89363
2011,CL_AREA.KG11,,18.412319
2012,CL_AREA.KG11,,21.394253
2013,CL_AREA.KG11,,20.374195
2014,CL_AREA.KG11,,17.559795
2015,CL_AREA.KG11,,23.541813
2016,CL_AREA.KG11,,9.78144
2017,CL_AREA.KG11,,15.895976999999998
2018,CL_AREA.KG11,,15.431849
2007,CL_AREA.KG11,CL_SEX.M,4.99107
2008,CL_AREA.KG11,CL_SEX.M,14.580407999999998
2009,CL_AREA.KG11,CL_SEX.M,12.694536
2010,CL_AREA.KG11,CL_SEX.M,7.30227
2011,CL_AREA.KG11,CL_SEX.M,17.126273
2012,CL_AREA.KG11,CL_SEX.M,19.902241
2013,CL_AREA.KG11,CL_SEX.M,18.389802
2014,CL_AREA.KG11,CL_SEX.M,15.756847
2015,CL_AREA.KG11,CL_SEX.M,22.249204000000002
2016,CL_AREA.KG11,CL_SEX.M,8.899379
2017,CL_AREA.KG11,CL_SEX.M,14.320885
2018,CL_AREA.KG11,CL_SEX.M,14.746660999999998
2007,CL_AREA.KG11,CL_SEX.F,5.022346
2008,CL_AREA.KG11,CL_SEX.F,15.989713
2009,CL_AREA.KG11,CL_SEX.F,13.950363000000001
2010,CL_AREA.KG11,CL_SEX.F,8.654214999999999
2011,CL_AREA.KG11,CL_SEX.F,20.038087
2012,CL_AREA.KG11,CL_SEX.F,23.294373999999998
2013,CL_AREA.KG11,CL_SEX.F,22.845597
2014,CL_AREA.KG11,CL_SEX.F,19.854368
2015,CL_AREA.KG11,CL_SEX.F,25.206391
2016,CL_AREA.KG11,CL_SEX.F,10.893361
2017,CL_AREA.KG11,CL_SEX.F,17.858219000000002
2018,CL_AREA.KG11,CL_SEX.F,16.325681
2007,CL_AREA.KG21,,0.0
2008,CL_AREA.KG21,,0.0
2009,CL_AREA.KG21,,0.0
2010,CL_AREA.KG21,,0.0
2011,CL_AREA.KG21,,0.0
2012,CL_AREA.KG21,,0.0
2013,CL_AREA.KG21,,40.875893
2014,CL_AREA.KG21,,33.421786
2015,CL_AREA.KG21,,38.278868
2016,CL_AREA.KG21,,24.599439999999998
2017,CL_AREA.KG21,,33.489021
2018,CL_AREA.KG21,,35.470048
2007,CL_AREA.KG21,CL_SEX.M,0.0
2008,CL_AREA.KG21,CL_SEX.M,0.0
2009,CL_AREA.KG21,CL_SEX.M,0.0
2010,CL_AREA.KG21,CL_SEX.M,0.0
2011,CL_AREA.KG21,CL_SEX.M,0.0
2012,CL_AREA.KG21,CL_SEX.M,0.0
2013,CL_AREA.KG21,CL_SEX.M,40.214977000000005
2014,CL_AREA.KG21,CL_SEX.M,31.961883
2015,CL_AREA.KG21,CL_SEX.M,35.847234
2016,CL_AREA.KG21,CL_SEX.M,23.187148999999998
2017,CL_AREA.KG21,CL_SEX.M,30.888271000000003
2018,CL_AREA.KG21,CL_SEX.M,33.89696
2007,CL_AREA.KG21,CL_SEX.F,0.0
2008,CL_AREA.KG21,CL_SEX.F,0.0
2009,CL_AREA.KG21,CL_SEX.F,0.0
2010,CL_AREA.KG21,CL_SEX.F,0.0
2011,CL_AREA.KG21,CL_SEX.F,0.0
2012,CL_AREA.KG21,CL_SEX.F,0.0
2013,CL_AREA.KG21,CL_SEX.F,41.620642
2014,CL_AREA.KG21,CL_SEX.F,35.041318
2015,CL_AREA.KG21,CL_SEX.F,41.029123
2016,CL_AREA.KG21,CL_SEX.F,26.170219
2017,CL_AREA.KG21,CL_SEX.F,36.383303000000005
2018,CL_AREA.KG21,CL_SEX.F,37.27373
